Number,Lock,Action,Name,Material(s),Dopant(s),Depth,Mask,Mask Polarity,Wafer,Wafer Side,Lateral Ratio,Parameter Name,Comment
1,,Wafer Setup,Wafer Setup,Silicon/Silicon...,,200,,,WAFER_1,,,,
2,,Conformal...,pad oxide deposition,/Oxides/Silicon...,,4,,,WAFER_1,Both,1.0,,
3,,Conformal...,pad nitride deposition,/Nitrides/SiN,,40,,,WAFER_1,Top,1.0,,
4,,Sequence,lithography,,,,,,WAFER_1,,,,
4.1,,Planarizing...,spin on resist,/Organics/photo...,,120,,,WAFER_1,Top,,,
4.2,,Expose resist,Expose resist,/Organics/photo...,,0,cross_line,Light,WAFER_1,Top,,,
5,,Sequence,etch fins,,,,,,WAFER_1,,,,
5.1,,Enhanced B...,pad nitride etch,/Nitrides/ /Org...,,40,,,WAFER_1,Top,0.05,,
5.2,,Enhanced B...,pad oxide etch,/Nitrides/ /Org...,,4,,,WAFER_1,Top,0.05,,
5.3,,Enhanced B...,silicon etch,/Nitrides/ /Org...,,100,,,WAFER_1,Top,0.05,,
6,,Remove M...,resist strip,/Organics/,,,,,WAFER_1,,,,
7,,Conformal...,sti fill deposition,/Oxides/SiO2_H...,,200,,,WAFER_1,Top,0.67,,
8,,Polish,sti oxide cmp,,,,,,WAFER_1,Top,,,
