Number,Lock,Action,Name,Material(s),Dopant(s),Depth,Mask,Mask Polarity,Wafer,Wafer Side,Lateral Ratio,Parameter Name,Comment
1,,Wafer Setup,Wafer Setup,/Silicon/Si_Xtal,,400,,,wafer1,,,,
2,,Conformal...,pad oxide depo...,/Oxides/SiO2.T...,,15,,,wafer1,Top,1.0,,
3,,Conformal...,sin hard mask d...,/Nitrides/Si3N4...,,100,,,wafer1,Top,1.0,,
4,,Sequence,lithography,,,,,,,,,,
4.1,,Deposit,Planarizing...,/Organics/Resist,,200,,,wafer1,Top,,,
4.2,,Expose Mat...,UV exposure,/Organics/Resist,,0,LOCOS_Trench,Dark,wafer1,Top,,,
5,,Sequence,etch,,,,,,,,,,
5.1,,Enhanced B...,SiN hardmask etch,"/Nitrides/, /Org...",,100,,,wafer1,Top,0,,
5.2,,Enhanced B...,pad oxide etch,"/Nitrides/, /Org...",,15,,,wafer1,Top,0.3,,
5.3,,Remove M...,resist removal,/Organics/Resist,,,,,wafer1,Top,,,
6,,Interface G...,thermal oxidation,"/Air/, /Silicon/Si_Xtal",,200,,,wafer1,Top,,,
7,,Enhanced B...,SiN hardmask st...,/Nitrides/Si3N4...,,105,,,wafer1,Top,0,,
8,,Multi Etch (...,Multi Etch,/Oxides/SiO2.T...,,10,,,wafer1,Top,,,
